,base_asset,compare_asset,label,hedge_ratio,p_value
336,PSL,VTHR,0,0.46434974434094856,0.04929974518030662
334,PSET,PTNQ,0,0.9532105395778854,0.039077126540078916
309,KBWD,PSET,0,0.2663187829591492,0.03684386114662798
308,KBWD,PSC,0,0.33899533523290803,0.036080230167508116
307,KBWD,PRN,0,0.13663455671748842,0.047031359022117865
282,INDY,QVAL,0,1.2633867646700374,0.001661516595424235
281,INDY,PSCC,0,1.343111787878817,0.046745499976256225
280,INDY,PSC,0,1.0601766334810743,0.0002072459899683466
279,INDY,PRFZ,0,1.3097253020964847,0.0006102319994274549
278,INDY,PPH,0,0.5869092652864674,0.02521536625863631
277,INDY,PKW,0,0.5156388602186114,0.0009465328227666993
276,INDY,PEY,0,2.4048835876021495,0.029470890956840894
275,INDY,IUSV,0,0.6181113099146008,0.027705576602759862
274,IMOM,PIE,0,1.4096581868094271,0.008568510678596588
273,IMCV,INDY,0,1.3883596637988929,0.0001874579968133181
272,IJT,INDY,0,2.6500707343261376,0.0357161499069722
268,IFV,IMOM,0,0.7001533727444805,0.01878980696035885
267,IBB,SDG,0,1.790642366285196,0.00584632872607612
266,IBB,PIE,0,6.843399507826326,0.04435745664809382
261,FYC,ISHP,0,2.1539659711581285,0.03896480449717814
260,FVC,VTWV,0,0.2629459589149671,0.03309980311409975
259,FVC,PSCC,0,1.01750070464193,0.027976491248992666
283,INDY,RDVY,0,1.0016178716214683,0.00427788758251902
284,INDY,VONV,0,0.6643571522019255,0.004349463025490083
285,INDY,VTWV,0,0.3466219793279786,0.004148515500651983
286,IPKW,SMCP,0,1.2224396442224477,0.04251687950075559
306,KBWD,PRFZ,0,0.419365188086886,0.045719865407568706
305,KBWD,PPH,0,0.1873670785969065,0.03997477625474009
304,KBWD,PKW,0,0.16379590763461246,0.02470400762298228
303,KBWD,PFM,0,0.393129031181513,0.04091050872047155
302,KBWD,PFI,0,0.3159027675053038,0.037891992903018125
301,KBWD,PEY,0,0.7717782850535093,0.041162842626921735
300,KBWD,PDBC,0,1.1043362835721262,0.03285273477145466
299,KBWD,KRMA,0,0.47150058153328656,0.038166817831694094
257,FVC,LVHD,0,0.9773803303732334,0.0330738627928167
298,JSML,VTWG,0,0.30310794266005,0.03822911396727639
296,JSMD,PDP,0,0.7289762918869274,0.037751606766817006
295,IXUS,VTWO,0,0.8216197374322841,0.012703215228723821
294,IXUS,PFI,0,1.4312945997792001,0.04185344483033598
293,IUSV,PPH,0,0.947869141581021,0.043219571806241135
290,ISHP,VTWG,0,0.1541165649895649,0.03858758731162539
289,ISHP,PFI,0,0.6419038314337101,0.008339787595508782
288,ISHP,JSML,0,0.5077088260100574,0.019741834930949533
287,IPKW,VTWV,0,0.28008469057068486,0.03928043427944852
297,JSMD,PSL,0,0.6923483294625897,0.01513851497555764
170,FID,FNX,0,0.17224783797722915,0.0352636452352527
179,FID,NXTG,0,0.2311344020673782,0.02320640926017611
168,FEX,RDVY,0,1.840121473983381,0.0011635655028716262
63,CFO,FVC,0,1.8537481190433278,0.032858620526040404
62,CFA,RDVY,0,1.537186381642214,0.0036541381575621113
61,CFA,INDY,0,1.526805320488246,0.021548946438759698
60,CFA,FV,0,1.4992393290525126,0.0006807489606467876
59,CFA,FNX,0,0.7400664872185791,0.04469288027233916
58,CFA,DGRS,0,1.6172575918691188,0.02971694348424883
57,CFA,CIBR,0,1.5219182651677352,0.019928747818013407
56,CDL,PEY,0,2.88070435978026,0.010390393319477675
55,CARZ,FSZ,0,0.8379556619063215,0.017429980531551263
53,BJK,PIE,0,2.1744641023370823,0.028386503825651107
52,BJK,IMOM,0,1.5423545376859753,0.0028812443629787766
51,BJK,EEMA,0,0.5942720100039707,0.02578276849422438
50,BBH,SNSR,0,5.473910281615302,0.03840393260735798
49,BBH,SDG,0,2.1525996267146024,0.0038046054736817574
48,BBH,FCVT,0,5.103253037346131,0.012384231851986999
47,ASET,VTWV,0,0.24011362238175057,0.03975454208701431
46,ASET,PSCC,0,0.9271685126123766,0.04443073341560299
64,CIBR,CSA,0,0.7352930431091789,0.043133817223665535
